"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2003","Hungary","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,847",""
"2003","Hungary","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,689",""
"2003","Malta","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Malta","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Malta","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Netherlands","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","119,102",""
"2003","Netherlands","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","60,157",""
"2003","Netherlands","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","58,945",""
"2003","Austria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","67,246",""
"2003","Austria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","39,089",""
"2003","Austria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,157",""
"2003","Poland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","370,001",""
"2003","Poland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","233,151",""
"2003","Poland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","136,850",""
"2003","Portugal","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Portugal","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Portugal","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Romania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","169,628",""
"2003","Romania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","97,433",""
"2003","Romania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","72,195",""
"2003","Slovenia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","21,474",""
"2003","Slovenia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,265",""
"2003","Slovenia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,209",""
"2003","Slovakia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","49,317",""
"2003","Slovakia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,201",""
"2003","Slovakia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","22,116",""
"2003","Finland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","50,151",""
"2003","Finland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,072",""
"2003","Finland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,079",""
"2003","Sweden","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","38,506",""
"2003","Sweden","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","21,637",""
"2003","Sweden","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,869",""
"2003","United Kingdom","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","United Kingdom","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","United Kingdom","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
